chr	arm	start	end
10	p	0	39800000
10	q	39800000	133797422
11	p	0	53400000
11	q	53400000	135086622
12	p	0	35500000
12	q	35500000	133275309
13	p	0	17700000
13	q	17700000	114364328
14	p	0	17200000
14	q	17200000	107043718
15	p	0	19000000
15	q	19000000	101991189
16	p	0	36800000
16	q	36800000	90338345
17	p	0	25100000
17	q	25100000	83257441
18	p	0	18500000
18	q	18500000	80373285
19	p	0	26200000
19	q	26200000	58617616
1	p	0	123400000
1	q	123400000	248956422
20	p	0	28100000
20	q	28100000	64444167
21	p	0	12000000
21	q	12000000	46709983
22	p	0	15000000
22	q	15000000	50818468
2	p	0	93900000
2	q	93900000	242193529
3	p	0	90900000
3	q	90900000	198295559
4	p	0	50000000
4	q	50000000	190214555
5	p	0	48800000
5	q	48800000	181538259
6	p	0	59800000
6	q	59800000	170805979
7	p	0	60100000
7	q	60100000	159345973
8	p	0	45200000
8	q	45200000	145138636
9	p	0	43000000
9	q	43000000	138394717
